CodigoMateria,CodigoParlamentar,DataApresentacao
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,5112,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,3741,2016-10-27
126231,4763,2016-10-31
126231,5112,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,5533,2016-10-31
